Name,Audio Link
إلهام,https://lahajati.ai/storage/app/public/cloned_voices/previews/voice-audio-1751417035-5ecc2d7c-7868-4cd0-a84f-5420903feb13.wav
عاصم,https://lahajati.ai/storage/app/public/cloned_voices/previews/voice-audio-1754497506-a5ae3fff-6e43-4530-b5c8-519d1a0ad493.wav
يسرى,https://lahajati.ai/storage/app/public/cloned_voices/previews/voice-audio-1751416930-5ae4ae5a-f7d3-4aa4-ae12-5c5bfc009cce.wav
فؤاد,https://lahajati.ai/storage/app/public/cloned_voices/previews/voice-audio-1754497938-a473b703-0c79-4e35-be3e-c21ca8005002.wav
لُجين,https://lahajati.ai/storage/app/public/cloned_voices/previews/voice-audio-1751416803-78aab6ca-54bd-44d0-9680-443b9eab1620.wav
لميس,https://lahajati.ai/storage/app/public/cloned_voices/previews/voice-audio-1751416710-837257d6-942e-4fd0-b1ef-1e00e5498ba4.wav
مراد,https://lahajati.ai/storage/app/public/cloned_voices/previews/voice-audio-1754498801-6fa25385-ca1a-435b-a7ff-9a16df751053.wav
همس,https://lahajati.ai/storage/app/public/cloned_voices/previews/voice-audio-1751416594-b1bbb053-586e-4965-b6f2-a01d1428091e.wav
عاشور,https://lahajati.ai/storage/app/public/cloned_voices/previews/voice-audio-1754499451-a60da766-1d81-4a5b-a7fc-f1a09e223912.wav
منتصر,https://lahajati.ai/storage/app/public/cloned_voices/previews/voice-audio-1754499867-8a66e2e9-5595-4b6b-a37a-5009dd0ca91d.wav
جورج,https://lahajati.ai/storage/app/public/cloned_voices/previews/voice-audio-1754500143-ce4ef70f-60a0-4f80-b558-4312d4210816.wav
كلثوم,https://lahajati.ai/storage/app/public/cloned_voices/previews/voice-audio-1754500603-a84718cd-7efd-4d54-bd34-d20c67b0a251.wav
مجد,https://lahajati.ai/storage/app/public/cloned_voices/previews/voice-audio-1754595279-53f2125d-f5fb-4e3e-89b4-3dc6001f4dbc.mp3
عزون,https://lahajati.ai/storage/app/public/cloned_voices/previews/voice-audio-1754667612-69feb322-9398-4af4-938d-97eccdbfe680.mp3
عمروش,https://lahajati.ai/storage/app/public/cloned_voices/previews/voice-audio-1754672570-c4de658e-7971-4b1b-98dc-4be20588f111.mp3
فهمي,https://lahajati.ai/storage/app/public/cloned_voices/previews/voice-audio-1751687157-0594e1e1-8cd9-4cfe-ad2c-2787854b5e0b.mp3
شمس,https://lahajati.ai/storage/app/public/cloned_voices/previews/voice-audio-1754705972-f1819400-ae2e-4fd4-978c-b555266426b1.mp3
سيف,https://lahajati.ai/storage/app/public/cloned_voices/previews/voice-audio-1754707486-e7201bf2-dbf9-4c9c-8d62-f7680b71a91a.wav
زهرة,https://lahajati.ai/storage/app/public/cloned_voices/previews/voice-audio-1754708323-3dc53a47-d59a-4ca4-90a1-2e3e1512c0a1.mp3
ريمي,https://lahajati.ai/storage/app/public/cloned_voices/previews/voice-audio-1754708565-72223b63-6da8-4b3e-b9cb-a2c7e4c58af1.mp3
ضياء,https://lahajati.ai/storage/app/public/cloned_voices/previews/voice-audio-1754709727-2543b723-e40c-429b-8a66-ab8ef886fe53.mp3
عيسى,https://lahajati.ai/storage/app/public/cloned_voices/previews/voice-audio-1754968656-edddfc08-2e60-495f-a2a3-90e62e4b8e9d.mp3
فادي,https://lahajati.ai/storage/app/public/cloned_voices/previews/voice-audio-1755061599-bc85235f-e76f-45d4-861e-aaf5cc890fdb.mp3
جودي,https://lahajati.ai/storage/app/public/cloned_voices/previews/voice-audio-1755104270-bd38e86f-56b8-40d6-b3a3-b8e584353420.mp3
حسين,https://lahajati.ai/storage/app/public/cloned_voices/previews/voice-audio-1755185923-7b69efcc-d0bf-40aa-959b-82912859635a.mp3
أنفال,https://lahajati.ai/storage/app/public/cloned_voices/previews/voice-audio-1755227849-054bfb86-c5b6-438d-839f-1732939b5f2e.mp3
حيدر,https://lahajati.ai/storage/app/public/cloned_voices/previews/voice-audio-1755277612-b55dba4d-4224-40e2-b663-36e644455fdb.mp3
طاهر,https://lahajati.ai/storage/app/public/cloned_voices/previews/voice-audio-1755403172-d359ef1d-1067-479d-bfd7-65af2019087b.mp3
جعفر,Not Available
فريد,https://lahajati.ai/storage/app/public/cloned_voices/previews/voice-audio-1755533873-6343a6e1-08a8-47e6-803d-6dbcdf32fc77.mp3
